text_clean,sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
how to tell your girlfriend you like men what the helly are you tryna type,-1,15,8,74,0,0.0,0.0,0.0,1.0,3,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to talk to women in 6 steps ,0,9,4,35,0,0.0,0.0,0.0,1.0,1,5,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99 of drops that 1,0,5,2,23,0,0.0,0.0,0.0,1.0,20,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 parabéns gostei muito desse conteúdo ,1,7,0,44,0,0.0,0.0,0.0,1.0,15,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i have number 6 and its good,1,7,3,29,0,0.0,0.0,0.0,1.0,21,2,9,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
was that a aussie on the bed?,0,7,5,29,1,0.0,0.0,0.0,1.0,20,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couldnt find that sauna in your store ,-1,8,3,42,0,0.0,0.0,0.0,1.0,7,6,8,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
that 1 for the phone case is gravel,0,8,4,36,0,0.0,0.0,0.0,1.0,12,4,8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
if i have the ingredients at home then why would i need a robot to do something i could do?,0,20,12,91,1,0.0,0.0,0.0,1.0,6,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13your garden were you gone,0,5,2,28,1,0.0,0.0,0.0,1.0,20,3,8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
mat lon,0,2,0,7,0,0.0,0.0,0.0,1.0,14,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with the exception of 5. those are all dust collectors.,0,10,6,55,2,0.0,0.0,0.0,1.0,3,3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bro u dont use that neck pillow every day,0,9,1,41,0,0.0,0.0,0.0,1.0,20,2,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
that 1,-1,2,1,8,0,0.0,0.0,0.0,1.0,13,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
did anyone notice that he's watching tutorial how to talk to women,0,12,6,66,1,0.0,0.0,0.0,1.0,11,2,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"yo, i got the car shuffler",0,6,2,26,1,0.0,0.0,0.0,1.0,3,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruh i need 13 for dashing at night xd,0,9,3,39,0,0.0,0.0,0.0,1.0,20,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
it protects 99.9999999,0,3,1,22,1,0.0,0.0,0.0,1.0,14,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to tell your girlfriend you like men is crazy ,-1,11,4,53,0,0.0,0.0,0.0,1.0,14,0,8,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
real water ,-1,3,0,12,0,0.0,0.0,0.0,1.0,9,0,8,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
you say you use everyday? so you have a flight every day?,0,12,6,57,2,0.0,0.0,0.0,1.0,9,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why is no body talking about the thing on his computer ,0,12,7,56,0,0.0,0.0,0.0,1.0,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the screach,0,2,1,11,0,0.0,0.0,0.0,1.0,6,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no way you use that torch every day,-1,8,3,35,0,0.0,0.0,0.0,1.0,12,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how abt that 1,-1,4,2,20,0,0.0,0.0,0.0,1.0,3,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bros living in the future,0,5,2,25,0,0.0,0.0,0.0,1.0,21,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"my brother, apparently has the rain lamp",0,7,3,40,1,0.0,0.0,0.0,1.0,9,2,8,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
"the searches are crazy, especially the mouse wiggle one.",-1,9,3,56,2,0.0,0.0,0.0,1.0,21,0,8,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
how to tell your gril friend you like men its so crazy,0,12,5,55,0,0.0,0.0,0.0,1.0,21,4,8,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
what about just regular curtains,0,5,3,32,0,0.0,0.0,0.0,1.0,15,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but what if i have ipad?!,0,6,5,25,2,0.0,0.0,0.0,1.0,4,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
me boblaclat,0,2,1,12,0,0.0,0.0,0.0,1.0,1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to tell your girlfriend you like men that is an insane google search bro,-1,15,6,79,2,0.0,0.0,0.0,1.0,13,2,8,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
nice body,1,2,0,9,0,0.0,0.0,0.0,1.0,16,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"wait,some of the products are good!",1,6,3,35,2,0.0,0.0,0.0,1.0,16,1,8,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
how does nobody says anything about the window bro literally rejected his wave,-1,13,5,78,0,0.0,0.0,0.0,1.0,13,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
what is the 1 of drops and how is it done?,0,11,8,46,1,0.0,0.0,0.0,1.0,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"what the... you typed in how to tell your girlfriend that you like men i guess that's how you do it, you type it in and make a youtube video that she'll see. pretty gay",-1,35,18,170,9,0.0,0.0,0.0,1.0,2,1,8,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
"the battery tester seems useful. i don't understand the phone case, though what am i. missing?",0,16,6,95,6,0.0,0.0,0.0,1.0,9,0,8,0.25,0.125,0.0,0.0,0.0,0.0,0.375,0.25,0.0,0.0
1st is an introverts dream,0,5,2,26,0,0.0,0.0,0.0,1.0,5,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
justicebuys it protects 99 of falls! the 1 of drops im still standing,1,13,4,73,3,0.0,0.0,0.0,1.0,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"i'm not the only one who sees a mushroom cloud when looking at the rain cloud, right?",0,17,9,85,3,0.0,0.0,0.0,1.0,22,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"is anyone going to talk about the screen that's says , 6 ways on how to talk to women when he was using the treadmill ",0,26,12,119,2,0.0,0.0,0.0,1.0,14,5,8,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
my father has the same wallpaper on the phonecase part,1,10,6,55,0,0.0,0.0,0.0,1.0,6,5,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
did anyone see him on the treadmill saying how to talk to women in 6 steps?,0,16,8,75,1,0.0,0.0,0.0,1.0,3,5,8,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
so anyoing,0,2,1,10,0,0.0,0.0,0.0,1.0,12,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he uses the world's brightest flashlight every day? for what tho?,0,11,4,66,3,0.0,0.0,0.0,1.0,3,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99  okay good that 1  ,0,8,1,27,2,0.0,0.0,0.0,1.0,23,3,8,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
annoying male influencer voice and broccoli hair hocking bullshit tech garbage.,-1,11,1,79,1,0.0,0.0,0.0,1.0,14,3,8,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
"the card shuffler has made our skipbo and uno rounds go a lot faster. now it's always a rock, paper, scissors round for who gets to shuffle  best 2 out of 3!",1,33,13,159,7,0.0,0.0,0.0,1.0,13,3,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
that 1 is what breaks my phone ,-1,8,4,33,0,0.0,0.0,0.0,1.0,11,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to talk to women just be yourself we like it when you do that,0,15,11,66,0,0.0,0.0,0.0,1.0,8,3,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
that 1 of the phone case,-1,6,3,30,0,0.0,0.0,0.0,1.0,5,3,8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
that 1  finish him,-1,5,2,20,1,0.0,0.0,0.0,1.0,2,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"the card shuffler doesnt work, it just shuffles them in half. you need to do it at least 8 times to actually shuffle them",-1,24,12,122,2,0.0,0.0,0.0,1.0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no way bro goes on a flight every day ,-1,10,3,40,0,0.0,0.0,0.0,1.0,23,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protects 99 that one percent ,0,6,1,31,0,0.0,0.0,0.0,1.0,21,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
just dont actually shine the flashlight in your face,-1,9,4,53,0,0.0,0.0,0.0,1.0,19,2,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
that 1,0,2,1,8,0,0.0,0.0,0.0,1.0,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"actually, that snap-on phone case wouldn't actually protect your phone very well. most typical phone cases are made of rubber or silicone material, this is so that it can absorb shock impact, but that snap-on phone case is made of metal, so it can't.",-1,44,20,250,10,0.0,0.0,0.0,1.0,10,1,8,0.2727272727272727,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0
how to talk to women in 6 steps is crazy,-1,10,5,40,0,0.0,0.0,0.0,1.0,15,0,8,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
i would take the flash light and turn it into a laser,0,12,6,53,0,0.0,0.0,0.0,1.0,10,0,8,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
why are you loading up a video that says six steps to talk to woman,-1,15,8,67,0,0.0,0.0,0.0,1.0,2,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
annoying repetitive too fast narration!,-1,5,1,39,1,0.0,0.0,0.0,1.0,8,6,8,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
so much junk at home im not sure i have space for all this,-1,14,8,60,0,0.0,0.0,0.0,1.0,14,5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"the flashlight is relatable, i mean nights overrated anyway",0,9,3,59,1,0.0,0.0,0.0,1.0,12,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i feel like the mouse wiggler is the perfect thing for afk in games,1,14,6,68,0,0.0,0.0,0.0,1.0,3,3,7,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
how to talk to women in 6 steps ,-1,9,4,33,0,0.0,0.0,0.0,1.0,21,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
why is no one talking about his computer saying how to talk to women in 6 steps?,-1,17,8,82,3,0.0,0.0,0.0,1.0,14,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
why is nobody talking about that he wants to google how to tell your girlfriend you like man  ,-1,20,9,99,2,0.0,0.0,0.0,1.0,19,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to tell your girlfriend you like men is a wild search ,0,13,5,61,0,0.0,0.0,0.0,1.0,21,6,7,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
how to tell your girlfriend you like men,0,8,3,42,2,0.0,0.0,0.0,1.0,6,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to talk to women is wild,-1,7,4,29,0,0.0,0.0,0.0,1.0,1,6,7,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
yeah okay. and where you buy them ? there's no link dude,0,12,5,56,3,0.0,0.0,0.0,1.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the mouse one is genius,1,5,2,23,0,0.0,0.0,0.0,1.0,3,5,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
wonder why youd need a mouse wiggler if you work from home?.,0,12,5,62,2,0.0,0.0,0.0,1.0,23,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who did teach bro how to use temu,-1,8,4,34,0,0.0,0.0,0.0,1.0,22,4,7,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25
wow so cool ,1,4,1,13,0,0.0,0.0,0.0,1.0,21,4,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i need that neck holder,0,5,2,23,0,0.0,0.0,0.0,1.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this guys living 2050,0,4,1,21,0,0.0,0.0,0.0,1.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that google search tho,0,4,1,23,0,0.0,0.0,0.0,1.0,10,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i love that little nightlight! so cute,1,7,3,38,1,0.0,0.0,0.0,1.0,2,4,7,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
that 1,0,2,1,8,0,0.0,0.0,0.0,1.0,22,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the 1,-1,2,1,8,1,0.0,0.0,0.0,1.0,12,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
most of these are hella cool!,1,6,4,29,1,0.0,0.0,0.0,1.0,19,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"9 is bs because it doesn't absorb shock, so all its doing is expanding the phone.",-1,16,10,81,3,0.0,0.0,0.0,1.0,8,2,7,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
im sure the mattress topper stands up well to cats and kids ,1,13,4,61,0,0.0,0.0,0.0,1.0,23,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5k likes for u to buy me a pc,0,9,4,29,0,0.0,0.0,0.0,1.0,18,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is overconsumption,-1,3,2,23,0,0.0,0.0,0.0,1.0,13,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
every time i ask my dad from something from what thai guy shows he says no,0,16,7,74,0,0.0,0.0,0.0,1.0,2,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bros living in the future ,1,6,2,28,0,0.0,0.0,0.0,1.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this guy is the final boss of temu billionaire ,-1,10,4,50,0,0.0,0.0,0.0,1.0,15,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phone case protects 99 of drops still the 1 always seems to get me,0,14,4,68,0,0.0,0.0,0.0,1.0,6,5,7,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
use them everyday? good for u lol,1,7,2,33,1,0.0,0.0,0.0,1.0,16,4,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
be honest. how often you use that flashlight? not everyday i think,0,12,6,66,2,0.0,0.0,0.0,1.0,8,3,7,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
did nobody see what he typed on google how to tell your girlfriend you like menwhat the hell,-1,18,8,94,1,0.0,0.0,0.0,1.0,17,2,7,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0
"you don't use these everyday, c'mon",0,6,3,35,3,0.0,0.0,0.0,1.0,6,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
socketbreeze am i a joke to you?,0,7,4,33,2,0.0,0.0,0.0,1.0,21,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2 gonna trigger the captchas lol,0,6,1,33,0,0.0,0.0,0.0,1.0,20,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the treadmill what the hell does it say on the computer? dont get me started on this one,-1,18,10,89,1,0.0,0.0,0.0,1.0,19,0,7,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
those arc cases are only good for low drops plus they dont protect your phone from anything else but falling . if something falls on the back of your phone ur cooked,-1,32,13,166,1,0.0,0.0,0.0,1.0,16,0,7,0.0,0.0,0.125,0.125,0.125,0.25,0.125,0.125,0.0,0.125
for the mouse thing just doenload an auti clicker,0,9,4,50,0,0.0,0.0,0.0,1.0,3,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you know hes a walking red flag when he needs six tips to talk to women,-1,16,6,72,0,0.0,0.0,0.0,1.0,7,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
the head shake was personal ,0,6,2,29,0,0.0,0.0,0.0,1.0,22,5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bro you don't need a robot to make jack and coke,-1,11,5,48,1,0.0,0.0,0.0,1.0,6,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
they look so cool!,1,4,2,18,1,0.0,0.0,0.0,1.0,15,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"some seems good i have 15 at home it's nice but others are fucking crazy lol the cocktail device, seriously?",1,20,7,111,5,0.0,0.0,0.0,1.0,15,1,7,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
how to tell your girlfriend you like men ,0,9,4,42,0,0.0,0.0,0.0,1.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the rain light looks the best.,1,6,2,30,1,0.0,0.0,0.0,1.0,19,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh my god!,1,3,1,10,1,0.0,0.0,0.0,1.0,5,0,7,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
"ah yes, i also use my automatic card shuffler and bartender everyday. for my drinking and gambling problem of course",0,20,7,116,2,0.0,0.0,0.0,1.0,10,6,7,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0
592k like oooo that's so awsome.,1,6,1,32,2,0.0,0.0,0.0,1.0,6,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the neck pillow's my fav,1,5,2,27,1,0.0,0.0,0.0,1.0,3,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
my bedroom is already a sauna!,1,6,3,30,1,0.0,0.0,0.0,1.0,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where are these available?,0,4,3,26,1,0.0,0.0,0.0,1.0,17,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i have the treadmill ,1,5,3,22,0,0.0,0.0,0.0,1.0,17,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"they sell your data to personalize your ads does anyone really care about that? no judgment at all if so but i never found it to be a big deal. theyre not stealing your money from your bank account, or anything crazy like that and theyre showing you ads that you might actually like. i see it as a win win idk tho might just be me",0,67,33,334,4,0.0,0.0,0.0,1.0,5,5,6,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.125,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.125
020 pause here but as a subnautica player this looks familiar,0,11,4,64,3,0.0,0.0,0.0,1.0,22,4,6,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
so youre telling me. i can just drop my phone in the grand canyon.. and it will still work?!?!,0,19,10,97,7,0.0,0.0,0.0,1.0,21,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what is the note books  name,-1,7,3,30,0,0.0,0.0,0.0,1.0,20,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shining the world's brightest flash light at cars driving is obviously a genius idea  wish i was this smart,1,20,7,108,1,0.0,0.0,0.0,1.0,1,3,6,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25
the flashlight is called the imalent ms-32 if yall want to get it 700-750,0,14,6,79,6,0.0,0.0,0.0,1.0,14,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well that phone cane wont work on stairs,-1,8,2,40,0,0.0,0.0,0.0,1.0,20,1,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
using the worlds brightest flashlight everyday is crazy,1,8,2,56,0,0.0,0.0,0.0,1.0,20,1,6,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
pft my mom has three things in that short ,0,10,4,43,0,0.0,0.0,0.0,1.0,16,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to tell your girlfriend that you like men  tf is that google search,-1,15,6,75,0,0.0,0.0,0.0,1.0,12,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the rain cloud night light isnt that loud,0,8,2,42,0,0.0,0.0,0.0,1.0,5,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wait.mouse wiggler?!?!,0,2,0,23,5,0.0,0.0,0.0,1.0,3,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this uses real water- dang i was buying the knockoff all along?,0,12,4,65,2,0.0,0.0,0.0,1.0,15,3,6,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
dropshipping the youtuber,0,3,1,25,0,0.0,0.0,0.0,1.0,20,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this comment brought to you by me,0,7,5,33,0,0.0,0.0,0.0,1.0,3,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawg is that my 14 logitech mouse with silent clicks from walmart give it back bro,-1,16,6,83,0,0.0,0.0,0.0,1.0,6,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"why is no one talking about his google search, how to tell my girlfriend i like men?",0,17,8,86,2,0.0,0.0,0.0,1.0,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to tell your girl you like men is crazy ,-1,11,5,46,0,0.0,0.0,0.0,1.0,2,4,6,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
where can i get that notebook?!?!,0,6,4,33,4,0.0,0.0,0.0,1.0,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
